playerID,yearID,stint,teamID,league,position,gamesPlayed,putouts,assists,errors,doublePlays,filedingID
abercda01,1871,1,TRO,NA,SS,1,1,3,2,0,1
addybo01,1871,1,RC1,NA,2B,22,67,72,42,5,2
addybo01,1871,1,RC1,NA,SS,3,8,14,7,0,3
allisar01,1871,1,CL1,NA,2B,2,1,4,0,0,4
allisar01,1871,1,CL1,NA,OF,29,51,3,7,1,5
allisdo01,1871,1,WS3,NA,C,27,68,15,20,4,6
ansonca01,1871,1,RC1,NA,1B,1,7,0,0,0,7
ansonca01,1871,1,RC1,NA,2B,2,3,4,1,0,8
ansonca01,1871,1,RC1,NA,3B,20,38,52,28,2,9
ansonca01,1871,1,RC1,NA,C,5,10,0,8,0,10
ansonca01,1871,1,RC1,NA,OF,1,0,0,0,0,11
armstbo01,1871,1,FW1,NA,OF,12,29,2,7,0,12
barkeal01,1871,1,RC1,NA,OF,1,2,0,0,0,13
barnero01,1871,1,BS1,NA,2B,16,42,61,15,10,14
barnero01,1871,1,BS1,NA,SS,15,44,64,21,3,15
barrebi01,1871,1,FW1,NA,3B,1,1,0,0,0,16
barrebi01,1871,1,FW1,NA,C,1,8,0,0,0,17
barrofr01,1871,1,BS1,NA,2B,1,2,0,1,0,18
barrofr01,1871,1,BS1,NA,OF,17,28,1,6,0,19
bassjo01,1871,1,CL1,NA,C,1,4,0,1,0,20
bassjo01,1871,1,CL1,NA,SS,22,41,61,29,3,21
battijo01,1871,1,CL1,NA,OF,1,1,0,0,0,22
bealsto01,1871,1,WS3,NA,2B,2,9,7,0,1,23
bealsto01,1871,1,WS3,NA,OF,8,20,1,6,0,24
beaveed01,1871,1,TRO,NA,2B,3,8,10,4,2,25
bechtge01,1871,1,PH1,NA,3B,3,3,3,2,0,26
bechtge01,1871,1,PH1,NA,OF,15,21,2,5,1,27
bechtge01,1871,1,PH1,NA,P,3,1,7,0,0,28
bellast01,1871,1,TRO,NA,3B,28,48,49,39,4,29
bellast01,1871,1,TRO,NA,SS,1,1,4,0,0,30
berkena01,1871,1,PH1,NA,OF,1,3,0,0,0,31
berryto01,1871,1,PH1,NA,OF,1,0,0,1,0,32
berthha01,1871,1,WS3,NA,2B,5,16,10,7,1,33
berthha01,1871,1,WS3,NA,C,1,0,0,1,0,34
berthha01,1871,1,WS3,NA,OF,12,29,0,7,0,35
biermch01,1871,1,FW1,NA,1B,1,9,0,2,0,36
birdge01,1871,1,RC1,NA,OF,25,32,2,11,0,37
birdsda01,1871,1,BS1,NA,C,7,9,6,2,0,38
birdsda01,1871,1,BS1,NA,OF,27,27,3,9,1,39
brainas01,1871,1,WS3,NA,P,30,18,28,8,1,40
brannmi01,1871,1,CH1,NA,3B,3,3,2,5,0,41
burrohe01,1871,1,WS3,NA,2B,1,1,0,1,0,42
burrohe01,1871,1,WS3,NA,3B,5,10,11,9,0,43
burrohe01,1871,1,WS3,NA,OF,8,11,1,5,0,44
careyto01,1871,1,FW1,NA,2B,19,58,50,18,5,45
carleji01,1871,1,CL1,NA,1B,29,295,4,34,10,46
conefr01,1871,1,BS1,NA,OF,18,39,2,7,0,47
connone01,1871,1,TRO,NA,1B,4,35,1,5,1,48
connone01,1871,1,TRO,NA,OF,3,4,1,4,0,49
cravebi01,1871,1,TRO,NA,1B,2,18,1,1,1,50
cravebi01,1871,1,TRO,NA,2B,18,57,50,16,11,51
cravebi01,1871,1,TRO,NA,C,3,10,4,1,0,52
cravebi01,1871,1,TRO,NA,OF,1,0,0,0,0,53
cravebi01,1871,1,TRO,NA,SS,4,6,12,4,3,54
cuthbne01,1871,1,PH1,NA,C,1,2,1,1,0,55
cuthbne01,1871,1,PH1,NA,OF,27,78,3,10,0,56
deaneha01,1871,1,FW1,NA,OF,6,21,0,0,0,57
donnepe01,1871,1,FW1,NA,3B,2,1,1,8,0,58
donnepe01,1871,1,FW1,NA,OF,9,5,0,2,0,59
duffyed01,1871,1,CH1,NA,3B,1,0,0,1,0,60
duffyed01,1871,1,CH1,NA,SS,26,42,90,44,5,61
eggleda01,1871,1,NY2,NA,OF,33,88,3,9,1,62
ewellge01,1871,1,CL1,NA,OF,1,1,0,0,0,63
fergubo01,1871,1,NY2,NA,2B,11,29,22,13,4,64
fergubo01,1871,1,NY2,NA,3B,20,31,58,26,3,65
fergubo01,1871,1,NY2,NA,C,5,19,0,4,0,66
fergubo01,1871,1,NY2,NA,P,1,0,0,0,0,67
fishech01,1871,1,RC1,NA,1B,2,12,0,1,0,68
fishech01,1871,1,RC1,NA,2B,1,1,1,1,0,69
fishech01,1871,1,RC1,NA,P,24,22,54,6,3,70
fislewe01,1871,1,PH1,NA,1B,26,240,1,7,9,71
fislewe01,1871,1,PH1,NA,2B,2,6,2,2,0,72
fleetfr01,1871,1,NY2,NA,P,1,0,5,0,0,73
flowedi01,1871,1,TRO,NA,2B,1,1,4,2,0,74
flowedi01,1871,1,TRO,NA,P,1,0,0,0,0,75
flowedi01,1871,1,TRO,NA,SS,20,28,72,30,8,76
flynncl01,1871,1,TRO,NA,1B,19,183,8,9,12,77
flynncl01,1871,1,TRO,NA,2B,1,2,3,2,0,78
flynncl01,1871,1,TRO,NA,3B,1,2,4,2,0,79
flynncl01,1871,1,TRO,NA,OF,8,16,2,7,2,80
foleyto01,1871,1,CH1,NA,3B,1,2,1,1,0,81
foleyto01,1871,1,CH1,NA,C,4,13,1,8,0,82
foleyto01,1871,1,CH1,NA,OF,16,18,1,11,0,83
foranji01,1871,1,FW1,NA,1B,16,111,4,16,2,84
foranji01,1871,1,FW1,NA,OF,4,11,1,2,0,85
forceda01,1871,1,WS3,NA,3B,1,2,2,1,0,86
forceda01,1871,1,WS3,NA,SS,31,46,159,38,7,87
fulmech01,1871,1,RC1,NA,1B,1,9,0,0,0,88
fulmech01,1871,1,RC1,NA,SS,16,29,65,28,4,89
glennjo01,1871,1,WS3,NA,OF,26,34,3,6,2,90
goldswa01,1871,1,FW1,NA,3B,8,10,5,14,0,91
goldswa01,1871,1,FW1,NA,C,2,4,0,4,0,92
goldswa01,1871,1,FW1,NA,SS,14,27,29,17,1,93
gouldch01,1871,1,BS1,NA,1B,30,343,3,36,21,94
gouldch01,1871,1,BS1,NA,OF,1,2,0,1,0,95
hallge01,1871,1,WS3,NA,OF,32,92,3,9,0,96
halliji01,1871,1,FW1,NA,SS,5,8,11,21,0,97
hamra01,1871,1,RC1,NA,3B,7,5,6,13,0,98
