yearID	league	teamID	franchID	Rank	G	W	L	name	park	teamNO
1871	NA	BS1	BNA	3	31	20	10	Boston Red Stockings	South End Grounds I	1
1871	NA	CH1	CNA	2	28	19	9	Chicago White Stockings	Union Base-Ball Grounds	2
1871	NA	CL1	CFC	8	29	10	19	Cleveland Forest Citys	National Association Grounds	3
1871	NA	FW1	KEK	7	19	7	12	Fort Wayne Kekiongas	Hamilton Field	4
1871	NA	NY2	NNA	5	33	16	17	New York Mutuals	Union Grounds (Brooklyn)	5
1871	NA	PH1	PNA	1	28	21	7	Philadelphia Athletics	Jefferson Street Grounds	6
1871	NA	RC1	ROK	9	25	4	21	Rockford Forest Citys	Agricultural Society Fair Grounds	7
1871	NA	TRO	TRO	6	29	13	15	Troy Haymakers	Haymakers' Grounds	8
1871	NA	WS3	OLY	4	32	15	15	Washington Olympics	Olympics Grounds	9
1872	NA	BL1	BLC	2	58	35	19	Baltimore Canaries	Newington Park	10
1872	NA	BR1	ECK	9	29	3	26	Brooklyn Eckfords	Union Grounds	11
1872	NA	BR2	BRA	6	37	9	28	Brooklyn Atlantics	Capitoline Grounds	12
1872	NA	BS1	BNA	1	48	39	8	Boston Red Stockings	South End Grounds I	13
1872	NA	CL1	CFC	7	22	6	16	Cleveland Forest Citys	National Association Grounds	14
1872	NA	MID	MAN	8	24	5	19	Middletown Mansfields	Mansfield Club Grounds	15
1872	NA	NY2	NNA	3	56	34	20	New York Mutuals	Union Grounds (Brooklyn)	16
1872	NA	PH1	PNA	4	47	30	14	Philadelphia Athletics	Jefferson Street Grounds	17
1872	NA	TRO	TRO	5	25	15	10	Troy Haymakers	Haymakers' Grounds	18
1872	NA	WS3	OLY	10	9	2	7	Washington Olympics	Olympics Grounds	19
1872	NA	WS4	NAT	11	11	0	11	Washington Nationals	Nationals Grounds	20
1873	NA	BL1	BLC	3	57	34	22	Baltimore Canaries	Newington Park	21
1873	NA	BL4	MAR	9	6	0	6	Baltimore Marylands	Newington Park	22
1873	NA	BR2	BRA	6	55	17	37	Brooklyn Atlantics	Union Grounds	23
1873	NA	BS1	BNA	1	60	43	16	Boston Red Stockings	South End Grounds I	24
1873	NA	ELI	RES	8	23	2	21	Elizabeth Resolutes	Waverly Fairgrounds	25
1873	NA	NY2	NNA	4	53	29	24	New York Mutuals	Union Grounds (Brooklyn)	26
1873	NA	PH1	PNA	5	52	28	23	Philadelphia Athletics	Jefferson Street Grounds	27
1873	NA	PH2	PWS	2	53	36	17	Philadelphia Whites	Jefferson Street Grounds	28
1873	NA	WS5	WBL	7	39	8	31	Washington Blue Legs	Olympics Grounds	29
1874	NA	BL1	BLC	8	47	9	38	Baltimore Canaries	Newington Park	30
1874	NA	BR2	BRA	6	56	22	33	Brooklyn Atlantics	Union Grounds	31
1874	NA	BS1	BNA	1	71	52	18	Boston Red Stockings	South End Grounds I	32
1874	NA	CH2	CNA	5	59	28	31	Chicago White Stockings	23rd Street Grounds	33
1874	NA	HR1	HNA	7	53	16	37	Hartford Dark Blues	Hartford Ball Club Grounds	34
1874	NA	NY2	NNA	2	65	42	23	New York Mutuals	Union Grounds (Brooklyn)	35
1874	NA	PH1	PNA	3	55	33	22	Philadelphia Athletics	Jefferson Street Grounds	36
1874	NA	PH2	PWS	4	58	29	29	Philadelphia Whites	Jefferson Street Grounds	37
1875	NA	BR2	BRA	11	44	2	42	Brooklyn Atlantics	Union Grounds	38
1875	NA	BS1	BNA	1	82	71	8	Boston Red Stockings	South End Grounds I	39
1875	NA	CH2	CNA	6	69	30	37	Chicago White Stockings	23rd Street Grounds	40
1875	NA	HR1	HNA	3	86	54	28	Hartford Dark Blues	Hartford Ball Club Grounds	41
1875	NA	KEO	WES	13	13	1	12	Keokuk Westerns	Perry Park	42
1875	NA	NH1	NHV	8	47	7	40	New Haven Elm Citys	Hamilton Park	43
1875	NA	NY2	NNA	6	71	30	38	New York Mutuals	Union Grounds (Brooklyn)	44
1875	NA	PH1	PNA	2	77	53	20	Philadelphia Athletics	Jefferson Street Grounds	45
1875	NA	PH2	PWS	5	70	37	31	Philadelphia Whites	Jefferson Street Grounds	46
1875	NA	PH3	CEN	11	14	2	12	Philadelphia Centennials	Centennial Grounds	47
1875	NA	SL1	SLR	10	19	4	15	St. Louis Red Stockings	Red Stocking Baseball Park	48
1875	NA	SL2	SNA	4	70	39	29	St. Louis Brown Stockings	Grand Avenue Park	49
1875	NA	WS6	WNT	9	28	5	23	Washington Nationals	Olympics Grounds	50
1876	NL	BSN	ATL	4	70	39	31	Boston Red Caps	South End Grounds I	51
1876	NL	CHN	CHC	1	66	52	14	Chicago White Stockings	23rd Street Grounds	52
1876	NL	CN1	CNR	8	65	9	56	Cincinnati Reds	Avenue Grounds	53
1876	NL	HAR	HAR	2	69	47	21	Hartford Dark Blues	Hartford Ball Club Grounds	54
1876	NL	LS1	LGR	5	69	30	36	Louisville Grays	Louisville Baseball Park	55
1876	NL	NY3	NYU	6	57	21	35	New York Mutuals	Union Grounds (Brooklyn)	56
1876	NL	PHN	ATH	7	60	14	45	Philadelphia Athletics	Jefferson Street Grounds	57
1876	NL	SL3	SBS	3	64	45	19	St. Louis Brown Stockings	Sportsman's Park I	58
1877	NL	BSN	ATL	1	61	42	18	Boston Red Caps	South End Grounds I	59
1877	NL	CHN	CHC	5	60	26	33	Chicago White Stockings	23rd Street Grounds	60
1877	NL	CN1	CNR	6	58	15	42	Cincinnati Reds	Avenue Grounds	61
1877	NL	HAR	HAR	3	60	31	27	Hartford Dark Blues	Union Grounds (Brooklyn)	62
1877	NL	LS1	LGR	2	61	35	25	Louisville Grays	Louisville Baseball Park	63
1877	NL	SL3	SBS	4	60	28	32	St. Louis Brown Stockings	Sportsman's Park I	64
1878	NL	BSN	ATL	1	60	41	19	Boston Red Caps	South End Grounds I	65
