filedingID,accm_txn_complete_time
1,5/16/22 7:34
2,5/16/22 10:57
3,5/16/22 19:13
4,5/16/22 4:54
5,5/15/22 14:18
6,5/15/22 5:51
7,5/17/22 14:13
8,5/17/22 3:26
9,5/17/22 17:52
10,5/15/22 11:04
11,5/16/22 19:43
12,5/17/22 2:02
13,5/15/22 9:45
14,5/17/22 3:40
15,5/15/22 5:07
16,5/16/22 19:41
17,5/15/22 6:56
18,5/15/22 15:41
19,5/15/22 13:10
20,5/15/22 23:46
21,5/15/22 3:20
22,5/15/22 6:08
23,5/16/22 21:03
24,5/16/22 23:47
25,5/17/22 9:23
26,5/17/22 7:27
27,5/15/22 4:06
28,5/17/22 13:20
29,5/17/22 22:53
30,5/17/22 13:26
31,5/15/22 5:25
32,5/15/22 19:24
33,5/17/22 7:37
34,5/17/22 15:20
35,5/15/22 4:46
36,5/16/22 22:15
37,5/15/22 12:56
38,5/17/22 3:34
39,5/17/22 13:25
40,5/16/22 17:39
41,5/15/22 19:51
42,5/17/22 20:28
43,5/15/22 14:25
44,5/16/22 14:02
45,5/16/22 3:29
46,5/17/22 21:54
47,5/16/22 0:00
48,5/15/22 8:43
49,5/17/22 19:16
50,5/15/22 11:52
51,5/16/22 2:44
52,5/16/22 9:06
53,5/15/22 7:46
54,5/15/22 5:34
55,5/16/22 16:45
56,5/15/22 17:05
57,5/17/22 8:13
58,5/17/22 5:03
59,5/17/22 10:16
60,5/15/22 8:01
61,5/17/22 7:22
62,5/16/22 12:50
63,5/17/22 8:18
64,5/16/22 22:55
65,5/16/22 18:54
66,5/15/22 7:55
67,5/17/22 4:36
68,5/15/22 13:32
69,5/17/22 15:07
70,5/15/22 11:13
71,5/16/22 19:12
72,5/16/22 17:19
73,5/16/22 16:19
74,5/16/22 18:07
75,5/16/22 3:26
76,5/15/22 7:25
77,5/15/22 3:28
78,5/16/22 15:17
79,5/15/22 16:06
80,5/17/22 1:12
81,5/15/22 1:58
82,5/16/22 3:33
83,5/17/22 0:52
84,5/15/22 1:00
85,5/17/22 13:11
86,5/17/22 8:44
87,5/16/22 11:21
88,5/15/22 7:11
89,5/17/22 23:43
90,5/16/22 19:02
91,5/16/22 13:57
92,5/16/22 21:30
93,5/17/22 6:35
94,5/15/22 22:46
95,5/17/22 1:16
96,5/16/22 17:19
97,5/15/22 20:02
98,5/17/22 12:33
99,5/17/22 2:01
100,5/15/22 11:57
101,5/16/22 3:56
102,5/17/22 19:44
103,5/15/22 9:28
104,5/15/22 3:35
105,5/15/22 1:37
106,5/15/22 11:41
107,5/15/22 5:02
108,5/15/22 14:20
109,5/16/22 16:07
110,5/16/22 0:40
111,5/16/22 6:33
112,5/16/22 1:05
113,5/16/22 6:37
114,5/17/22 12:32
115,5/16/22 22:43
116,5/16/22 9:47
117,5/15/22 7:11
118,5/16/22 16:17
119,5/17/22 5:36
120,5/17/22 3:01
121,5/16/22 4:03
122,5/17/22 3:55
123,5/17/22 6:02
124,5/16/22 15:37
125,5/16/22 10:52
126,5/16/22 21:00
127,5/15/22 15:50
128,5/17/22 14:21
129,5/15/22 9:10
130,5/15/22 9:08
131,5/15/22 12:52
132,5/16/22 18:28
133,5/16/22 21:28
134,5/16/22 20:10
135,5/15/22 19:08
136,5/17/22 22:52
137,5/16/22 10:59
138,5/17/22 8:17
139,5/17/22 6:27
140,5/17/22 10:48
141,5/17/22 1:47
142,5/15/22 10:16
143,5/16/22 18:51
144,5/15/22 20:10
145,5/17/22 13:04
146,5/15/22 17:04
147,5/16/22 9:09
148,5/16/22 13:15
149,5/16/22 5:37
150,5/17/22 5:41
151,5/15/22 0:10
152,5/16/22 23:08
153,5/15/22 20:51
154,5/15/22 8:52
155,5/17/22 5:50
156,5/17/22 21:27
157,5/16/22 14:23
158,5/15/22 10:44
